Entry	Mass	Gene names  (ordered locus )	Subunit structure [CC]
P45570	19,530	b0527 JW0516	
P0DSG6	1,576	b4788	
P76498	30,260	b2332 JW2329	
P45551	13,528	b3382 JW5696	
P37648	55,527	b3527 JW3495	
P0A8K8	32,839	b3886 JW3857	
P76547	22,907	b2447	
P0AA31	8,639	b1930 JW1915	
P42590	52,147	b3078 JW5512	
P0ADM0	12,779	b3676 JW3652	
P76111	15,855	b1447 JW1442	
P68206	8,325	b4045 JW4005	
P76482	35,931	b2271 JW2266	
P77588	32,070	b1502 JW1496	
P0A8L7	12,687	b1248 JW1240	
Q46907	30,308	b2769 JW5440	SUBUNIT: YgcQ and YgcR form a heterodimer. {ECO:0000305}.
P76396	24,218	b2073 JW2058	
P31126	42,659	b1534 JW1527	
P32717	73,151	b4083 JW5721	
P39277	44,778	b4141 JW4101	
P0DPO4	4,013	b4744	
P67153	23,847	b2899 JW2867	
P77173	36,475	b2412 JW2404	SUBUNIT: Interacts with FtsZ via their C-terminal domains (PubMed:9008158, PubMed:10209756, PubMed:10880432, PubMed:22164258). Can form homodimers prior to association with FtsZ (PubMed:22304478). {ECO:0000269|PubMed:10209756, ECO:0000269|PubMed:10880432, ECO:0000269|PubMed:22164258, ECO:0000269|PubMed:22304478, ECO:0000269|PubMed:9008158}.
P0A8H3	26,485	b3040 JW3008	
P36672	51,081	b4240 JW4199	
P20966	57,519	b2167 JW2154	
P05706	13,304	b2704 JW2673	
P0AEM9	29,039	b1920 JW1905	SUBUNIT: The complex is composed of two ATP-binding proteins (TcyN), two transmembrane proteins (TcyL) and a solute-binding protein (TcyJ). {ECO:0000305|PubMed:25837721, ECO:0000305|PubMed:26350134}.
P27302	72,212	b2935 JW5478	SUBUNIT: Homodimer. {ECO:0000269|PubMed:17914867, ECO:0000269|PubMed:7607225, ECO:0000269|Ref.9}.
P0A862	17,835	b1324 JW1317	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00269, ECO:0000269|PubMed:19699750}.
P10906	31,500	b3451 JW3416	SUBUNIT: The complex is composed of two ATP-binding proteins (UgpC), two transmembrane proteins (UgpA and UgpE) and a solute-binding protein (UgpB). {ECO:0000305}.
P0A8S5	13,027	b3494 JW3461	
P77326	12,658	b2353 JW5383	
P75728	42,953	b0662 JW0659	SUBUNIT: Component of the Ubi complex metabolon, which regroups five ubiquinone biosynthesis proteins (UbiE, UbiF, UbiG, UbiH and UbiI) and two accessory factors (UbiK and the lipid-binding protein UbiJ). {ECO:0000269|PubMed:30686758}.
P75874	14,701	b0965 JW5130	
P09996	13,787	b3698 JW3675	
P64439	14,203	b0848 JW0832	
P0DPC8	7,104	b4723	
P0A930	41,910	b2062 JW2047	
P0A8H8	7,306	b0101 JW5008	SUBUNIT: Interacts with GyrB. {ECO:0000255|HAMAP-Rule:MF_00649, ECO:0000269|PubMed:18586829}.
P76509	10,336	b2356 JW2352	
P11664	27,132	b2928 JW2895	
P52132	31,255	b2633 JW2614	
P37640	22,604	b3520 JW3488	
P0ADS6	26,635	b2922 JW2889	
P52127	62,007	b2628 JW2609	
P77656	16,408	b2354 JW2350	
P55734	18,639	b2668 JW2643	
P32167	23,140	b3937 JW3908	
A0A385XJL2	5,231	b4610	
P76275	7,315	b1837 JW5303	
P31471	42,755	b3719 JW5612	
Q46819	17,513	b2886 JW5468	
P76347	248,569	b1978 JW5833	
P0AD03	48,273	b1833 JW1822	SUBUNIT: May form a complex with YebT. {ECO:0000305|PubMed:27795327}.
C1P621	2,056	b4670 JW5740.1	
P0ADM8	27,647	b3712 JW3690	
P76483	19,019	b2272 JW2267	SUBUNIT: Monomer. {ECO:0000269|Ref.3}.
P0AF50	13,519	b4057 JW4018	
Q46798	26,565	b2865 JW2833	
P0AF54	11,672	b4068 JW4029	
P77804	54,689	b1614 JW1606	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16079137}.
P76164	5,881	b1567 JW1559	
P75769	26,123	b0787 JW0770	
P0AFQ7	29,809	b1100 JW1086	
P21503	41,432	b0898 JW0881	
P39357	47,004	b4296 JW4258	
P76148	13,544	b1523 JW1516	
P52143	157,500	b2647 JW5422	
P77374	89,780	b1587 JW1579	
Q02885	11,008	ECOK12F068	
P76223	42,845	b1754 JW5284	
Q47685	18,099	b0247 JW0236	
P0DPN2	3,234	b4732	
P69797	35,048	b1817 JW1806	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15788390, ECO:0000269|PubMed:2681202, ECO:0000269|PubMed:2951378, ECO:0000269|PubMed:2999119, ECO:0000305|PubMed:8262947}.
P69789	17,626	b3682 JW3659	
P0A9M5	16,971	b0238 JW0228	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:9100006, ECO:0000269|PubMed:9743633}.
P0A9T6	13,171	b0483 JW0472	
P30866	22,991	b0210 JW0200	
Q46948	20,777	b0424 JW5057	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16181642, ECO:0000269|PubMed:22157000}.
P77297	32,266	b0319 JW0311	
Q47534	29,040	b0358 JW0349	
Q47536	44,708	b0363 JW0355	
P46142	38,459	b2956 JW2923	
P46837	85,120	b3407 JW3370	
P0AA49	33,616	b2372 JW2369	
P0ADQ5	8,408	b3889 JW5929	
P28917	43,079	b1460 JW1455	
P76550	29,751	b2450	
P31063	14,983	b1928 JW1913	
P42591	40,099	b3079 JW3050	
P0A8L5	17,910	b1181 JW5180	
P77615	36,134	b1320 JW1313	
P39282	54,725	b4156 JW5739	
P31467	24,664	b3715 JW3693	
P76418	35,621	b2099 JW2086	
P0AD27	67,296	b2188 JW2176	
Q47138	35,071	b1577 JW1568	
P39359	32,722	b4298 JW5775	
P36661	48,355	b1001 JW0986	
P0AG27	15,596	b3611 JW3586	
P37682	37,274	b3585 JW3557	
P77402	34,894	b1696 JW1686	
P37691	35,353	b3614 JW5645	
P75770	35,860	b0788 JW0771	
P21829	30,201	b0766 JW0749	
P64493	8,942	b1793 JW1782	
Q46808	57,682	b2875 JW2843	
P0ACV8	9,321	b1295 JW1288	
P09154	15,434	b1155 JW5171	
P75968	27,579	b1138 JW5166	
P0DPP5	3,191	b4754	
P76208	20,367	b1726 JW1715	
P76227	9,947	b1760 JW1749	
P0ADD7	27,032	b4365 JW4329	SUBUNIT: May form homodimers.
P77162	17,026	b0250 JW0239	
P0AAL0	18,047	b2208 JW2196	SUBUNIT: Interacts with the cytoplasmic NapA precursor. {ECO:0000255|HAMAP-Rule:MF_02201, ECO:0000269|PubMed:17074894}.
P37610	32,410	b0368 JW0360	SUBUNIT: Homodimer (PubMed:11955067, PubMed:12741810, PubMed:9287300). Was later shown to be a homotetramer arranged as a dimer of two dimers (PubMed:22221834). {ECO:0000269|PubMed:11955067, ECO:0000269|PubMed:12741810, ECO:0000269|PubMed:22221834, ECO:0000269|PubMed:9287300}.
Q2EES9	7,678	b4501 JW5387	SUBUNIT: Interacts with TorR. Binds to the effector domain of TorR. This interaction, which does not interfere with TorR DNA binding activity, probably prevents the recruitment of RNA polymerase to the torCAD promoter. Binds to DNA. {ECO:0000269|PubMed:15197250}.
P31058	44,899	b0135 JW0131	
P45804	64,637	b3402 JW3365	
P37621	42,156	b3473 JW5945	
P77549	40,465	b2322 JW2319	
P64545	7,462	b2504 JW5399	
Q47702	13,732	b2419 JW2412	
P75961	28,865	b1121 JW1107	
P31448	62,085	b3679 JW3655	
P77295	10,596	b2667 JW2642	SUBUNIT: Homodimer. {ECO:0000305}.
P33014	8,148	b2012 JW1994	
P0ADQ7	11,847	b2672 JW2647	SUBUNIT: Upon overexpression binds to ribosomes.
P0ACW4	5,860	b1419 JW1416	
P76633	28,042	b2774 JW5443	
P0ADM4	11,826	b3688 JW5633	
P31130	14,121	b1536 JW1529	
P0DSF5	3,906	b4777	
P0A6D5	31,228		SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01578, ECO:0000269|PubMed:12624088, ECO:0000269|PubMed:12637497, ECO:0000269|PubMed:16021622, ECO:0000269|PubMed:3541912}.
P37673	17,549	b3576 JW3548	
P0AEC0	56,528	b1816 JW1805	
P55914	8,697	b4567 JW5797	
A5A621	2,408	b4606 JW2454.1	
P69826	48,971	b2933 JW2900	
P0AFL3	20,431	b3363 JW3326	
P45475	32,535	b3159 JW5530	SUBUNIT: Forms an heterodimer with UbiU. {ECO:0000255|HAMAP-Rule:MF_02233, ECO:0000269|PubMed:31289180}.
P25535	44,245	b2906 JW2874	SUBUNIT: Homotetramer (Probable). Component of the Ubi complex metabolon, which regroups five ubiquinone biosynthesis proteins (UbiE, UbiF, UbiG, UbiH and UbiI) and two accessory factors (UbiK and the lipid-binding protein UbiJ) (PubMed:30686758). {ECO:0000269|PubMed:30686758, ECO:0000305|PubMed:23709220}.
P67444	49,108	b2882 JW2850	
P27835	51,517	b3793 JW3769	SUBUNIT: Probably part of a complex composed of WzxE, WzyE and WzzE. {ECO:0000255|HAMAP-Rule:MF_01003, ECO:0000305|PubMed:16816184}.
P76387	79,343	b2060 JW2045	
P77599	27,728	b2336 JW2333	
P37327	34,503	b2347 JW2344	
P45549	44,560	b3380 JW3343	
P45546	46,516	b3377 JW3340	
P46852	26,279	b3439 JW3402	
P32137	50,982	b3877 JW3848	
P76546	15,729	b2446	
Q46840	44,674	b2981 JW5848	
P45848	71,289	b1268 JW5197	
P0AD05	25,039	b1908 JW1896	
P64485	8,671	b1795 JW1784	
P77789	18,949	b1504 JW1498	
P76122	12,872	b1470 JW1466	
Q46906	20,786	b2768 JW2738	
P76156	16,497	b1549 JW5252	
P39349	13,956	b4575	
P77378	33,770	b1698 JW1688	SUBUNIT: YdiR and YdiQ form a heterodimer. {ECO:0000305}.
P0DPN5	3,827	b4735	
P33354	16,594	b2123 JW5351	
P0AB35	18,920	b1110 JW1096	
P77409	29,583	b1670 JW1660	
P76185	31,496	b1644 JW1636	
P0AAX8	33,325	b0819 JW0803	SUBUNIT: Interacts with DsbG. {ECO:0000269|PubMed:19965429}.
P75946	13,981	b1104 JW1090	
P39368	19,957	b4307 JW4269	
P75839	26,282	b0906 JW0889	
P0AB55	10,602	b1251 JW1243	SUBUNIT: Homodimer. {ECO:0000250}.
P0DPO3	6,428	b4743	
Q9JMR5	19,510	ECOK12F056	
P43531	45,258	b1596 JW1588	
P76222	20,533	b1753 JW1742	
P76226	22,752	b1758 JW1747	
P76524	39,624	b2385 JW2382	
P0DP22	21,769	b4339 JW4302	
P0AAD8	48,879	b3116 JW3087	
P0AAB2	16,709	b2061 JW2046	
P0ADP0	27,122	b3812 JW3785	
P37660	47,258	b3539 JW3508	
P52133	26,606	b2634 JW2615	
P76537	20,898	b2432 JW2425	
Q7DFU6	12,628	b4658 JW5926/JW5496	
P25728	13,940	b2732 JW2702	
P33219	12,962	b1847 JW1836	SUBUNIT: Monomer in solution (PubMed:22658749). Interacts with OmpF/OmpC at the periplasmic face of the membrane (PubMed:22658749). {ECO:0000269|PubMed:22658749}.
P52598	27,435	b2735 JW2705	
P67699	10,401	b1477 JW5908	
Q46904	46,393	b2766 JW2736	
P52645	96,835	b1381 JW1376	
P31475	26,076	b3755 JW5608	
P76035	42,220	b1287 JW5200	
P76046	52,609	b1321 JW1314	
P76163	11,308	b1565 JW1557	
Q2EEU2	9,734	b4566 JW5968	
Q9JMT4	24,081	ECOK12F015	
Q9JMR7	10,748	ECOK12F038	
P0DPN6	2,716	b4736	
P76157	5,639	b1551 JW5254	
P0DPO0	7,677	b4740	
P0AB46	11,852	b1171 JW5177	
P0DPO2	5,971	b4742	
P0A937	12,302	b2617 JW2598	SUBUNIT: Part of the Bam complex, which is composed of the outer membrane protein BamA, and four lipoproteins BamB, BamC, BamD and BamE. Forms a subcomplex with BamC and BamD. Monomer in the periplasm, but is able to adopt a dimeric conformation in the cytoplasm (PubMed:21207987). The Bam complex has the shape of a hat, with the BamA beta-barrel crown in the outer membrane and the periplasmic brim formed by the BamA POTRA domains and the 4 lipoproteins (PubMed:27686148, PubMed:26900875, PubMed:26901871, PubMed:26744406). The intact Bam complex can have 2 BamE subunits (PubMed:27686148). {ECO:0000269|PubMed:17404237, ECO:0000269|PubMed:20378773, ECO:0000269|PubMed:21139201, ECO:0000269|PubMed:21207987, ECO:0000269|PubMed:21212804, ECO:0000269|PubMed:21586578, ECO:0000269|PubMed:21823654, ECO:0000269|PubMed:26744406, ECO:0000269|PubMed:26900875, ECO:0000269|PubMed:26901871, ECO:0000269|PubMed:27686148}.
P39375	14,747	b4326 JW5782	SUBUNIT: Interacts with RssB. {ECO:0000269|PubMed:18383615}.
P05793	54,069	b3774 JW3747	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:16322583, ECO:0000269|PubMed:23036858}.
P0AB58	44,531	b1280 JW1272	
P0AD72	1,924	b2598 JW2579	
P39196	41,656	b2835 JW2803	
P37636	41,191	b3513 JW3481	SUBUNIT: Homotrimer. Part of the tripartite efflux system MdtEF-TolC, which is composed of an inner membrane transporter, MdtF, a membrane fusion protein, MdtE, and an outer membrane component, TolC. The complex forms a large protein conduit and can translocate molecules across both the inner and outer membranes. {ECO:0000269|PubMed:11914367, ECO:0000269|PubMed:16079137}.
P37637	111,517	b3514 JW3482	SUBUNIT: Homotrimer. Part of the tripartite efflux system MdtEF-TolC, which is composed of an inner membrane transporter, MdtF, a membrane fusion protein, MdtE, and an outer membrane component, TolC. The complex forms a large protein conduit and can translocate molecules across both the inner and outer membranes. {ECO:0000269|PubMed:11914367, ECO:0000269|PubMed:16079137}.
P31677	53,611	b1896 JW5312	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:12498887}.
P0A9H1	18,673	b3068 JW3040	SUBUNIT: Binds DNA as a monomer. {ECO:0000269|PubMed:10581234, ECO:0000269|PubMed:9489705, ECO:0000269|PubMed:9699633}.
P14900	46,974	b0088 JW0086	
P77338	127,215	b0465 JW0454	
P0ADA3	40,149	b2742 JW2712	
P0ABL1	20,714	b4071 JW4032	
P0A772	15,340	b2674 JW2649	
P37596	41,404	b2711 JW2681	
P23843	60,899	b1243 JW1235	
P77747	41,220	b1377 JW1371	SUBUNIT: Homotrimer.
P0AFD1	18,590	b2285 JW2280	SUBUNIT: Composed of 13 different subunits. Subunits NuoCD, E, F, and G constitute the peripheral sector of the complex.
P0AFG0	20,532	b3982 JW3945	SUBUNIT: Monomer. Interacts with the transcription termination factor Rho and with RNAP. One NusG monomer forms a stable complex with a Rho hexamer. Binds directly, but weakly, to the core enzyme of RNAP. Also interacts with RpsJ (NusE). The rRNA transcription and antitermination complex (rrnTAC) consists of RNAP, NusA, NusB, NusE (rpsJ), NusG, SubB, ribosomal protein S4, DNA and precursor rRNA; S4 is more flexible than other subunits (PubMed:32871103). {ECO:0000255|HAMAP-Rule:MF_00948, ECO:0000269|PubMed:10820031, ECO:0000269|PubMed:1532577, ECO:0000269|PubMed:20413501, ECO:0000269|PubMed:32871103, ECO:0000269|PubMed:8422985}.
P39401	85,494	b4359 JW5794	
P0AFE4	10,845	b2279 JW2274	SUBUNIT: NDH-1 is composed of 13 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex.
Q46920	32,588	b2794 JW2765	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15767583}.
P0AGL5	17,727	b2619 JW2600	SUBUNIT: Associates with 50S ribosomes. {ECO:0000269|PubMed:21323758}.
P52119	10,789	b2618 JW2599	
P15033	10,016	b1351 JW1345	
P31473	56,389	b3746 JW3725	SUBUNIT: Hexameric oligomer. Interactions of five RavA oligomers with two CadA decamers. Possible formation of a ternary complex RavA-ViaA-CadA. {ECO:0000269|PubMed:16301313}.
Q47152	20,042	b0228 JW0218	SUBUNIT: Monomer. {ECO:0000269|PubMed:22885300}.
P33230	7,863	b1347 JW1341	
P76062	17,663	b1356 JW1351	
P75811	20,307	b0846 JW5114	
P65870	13,773	b2765 JW2735	
P37624	100,785	b3486 JW5676	SUBUNIT: Interacts with both 70S ribosomes and 30S ribosomal subunits, and with 16S RNA (PubMed:10607404, PubMed:11168361, PubMed:16495476). Binds EF-Tu (PubMed:11168361). Co-purifies with the inner membrane protein YhjD (PubMed:21556145). {ECO:0000269|PubMed:10607404, ECO:0000269|PubMed:11168361, ECO:0000269|PubMed:16495476, ECO:0000269|PubMed:21556145}.
P77212	48,244	b0304 JW5040	
P75687	8,472	b0303 JW5039	
P75685	21,899	b0301 JW5038	
P77379	31,474	b0305 JW0298	
P64554	25,030	b2777 JW2748	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00917}.
P76425	30,419	b2106 JW2093	
P64534	12,466	b2107 JW5346	
P64530	10,134	b2105 JW2092	
P33229	7,019	b1348 JW5208	
P0DMC9	23,516	b1951 JW1935	SUBUNIT: Interacts with RcsB. {ECO:0000255|HAMAP-Rule:MF_00982, ECO:0000269|PubMed:10702265}.
P0DMC7	23,671	b2217 JW2205	SUBUNIT: Interacts with RcsD and RcsA. Homodimer. Can form an heterodimer with the coactivator RcsA, which binds to the RcsAB boxes to promote transcription of RcsA-dependent genes. Can also form a heterodimer with GadE to bind to the GAD box, and with BglJ to bind to the bgl promoter. {ECO:0000255|HAMAP-Rule:MF_00981, ECO:0000269|PubMed:10702265, ECO:0000269|PubMed:11566985, ECO:0000269|PubMed:15476819, ECO:0000269|PubMed:1999391, ECO:0000269|PubMed:20189963, ECO:0000269|PubMed:20952573}.
P37619	25,269	b3471 JW3436	
P0DMC5	106,506	b2218 JW5917/JW5920	SUBUNIT: Interacts with RcsD. {ECO:0000255|HAMAP-Rule:MF_00979, ECO:0000269|PubMed:15476819, ECO:0000269|PubMed:17005198}.
P39838	100,372	b2216 JW2204	SUBUNIT: Interacts with RcsC and RcsB. Has a higher affinity for RcsB than for RcsC. {ECO:0000255|HAMAP-Rule:MF_00980, ECO:0000269|PubMed:15476819}.
P69411	14,163	b0196 JW0192	SUBUNIT: Interacts with DsbC. {ECO:0000269|PubMed:21454485}.
P0A7G6	37,973	b2699 JW2669	SUBUNIT: Polymerizes non-specifically on ssDNA to form filaments; filament formation requires ATP or ATP-gamma-S. Interacts with and activates LexA leading to autocatalytic cleavage of LexA, which derepresses the SOS regulon and activates DNA repair. Interacts with the C-terminus of RecB, facilitating loading of RecA onto ssDNA at chi sites. Interaction is decreased by ATP. {ECO:0000269|PubMed:16483938, ECO:0000269|PubMed:1731246, ECO:0000269|PubMed:1731253}.
P52076	24,678	b3025 JW2993	
P40719	50,282	b3026 JW2994	
P0A7F9	39,431	b0405 JW0395	SUBUNIT: Monomer.
P36767	33,993	b0393 JW0384	
P0AA53	33,743	b0489 JW0478	SUBUNIT: Forms oligomers. Probably interacts weakly with FtsH. {ECO:0000269|PubMed:16573693}.
P28304	35,172	b4051 JW4011	SUBUNIT: Homodimer. {ECO:0000269|PubMed:7602590}.
P39315	29,734	b4211 JW4169	SUBUNIT: Monomer. {ECO:0000269|PubMed:18455185}.
P39288	43,073	b4166 JW4124	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00916}.
P0A9J6	32,291	b3752 JW3731	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01987, ECO:0000269|PubMed:9385653}.
P0ACQ0	36,612	b3753 JW3732	
P04983	55,042	b3749 JW3728	SUBUNIT: The complex is composed of an ATP-binding protein (RbsA), two transmembrane proteins (RbsC) and a solute-binding protein (RbsB). {ECO:0000255|HAMAP-Rule:MF_01716, ECO:0000269|PubMed:25533465}.
P24554	49,472	b4389 JW4352	
P02925	30,950	b3751 JW3730	SUBUNIT: The complex is composed of an ATP-binding protein (RbsA), two transmembrane proteins (RbsC) and a solute-binding protein (RbsB). {ECO:0000269|PubMed:25533465}.
P0AGI1	33,452	b3750 JW3729	SUBUNIT: The complex is composed of an ATP-binding protein (RbsA), two transmembrane proteins (RbsC) and a solute-binding protein (RbsB). {ECO:0000269|PubMed:25533465}.
P33919	66,413	b2184 JW2172	SUBUNIT: Monomer (PubMed:31035307, PubMed:27519413). Interacts with single-stranded DNA-binding protein SSB (PubMed:27519413). {ECO:0000269|PubMed:27519413, ECO:0000269|PubMed:31035307}.
P04982	15,292	b3748 JW5857	SUBUNIT: Homodecamer. {ECO:0000269|PubMed:12738765, ECO:0000269|PubMed:16731978}.
P0AG30	47,004	b3783 JW3756	SUBUNIT: Homohexamer. The homohexamer assembles into an open ring structure. {ECO:0000269|PubMed:10230401, ECO:0000269|PubMed:12859904, ECO:0000269|PubMed:15642265, ECO:0000269|PubMed:19879839, ECO:0000269|PubMed:9586995}.
P0A7I4	59,574	b4375 JW5873	
P09378	32,373	b3906 JW3877	SUBUNIT: Binds DNA as a dimer. {ECO:0000255|HAMAP-Rule:MF_01533, ECO:0000305}.
P41409	33,823	b0651 JW0646	
P07010	9,235	b1561 JW1553	
P09377	32,315	b3905 JW3876	SUBUNIT: Binds DNA as a dimer. {ECO:0000255|HAMAP-Rule:MF_01534, ECO:0000305}.
P33022	33,748	b2162 JW2149	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:15130467}.
P75718	7,173	b0542 JW0530	
P24173	35,544	b3621 JW3596	
P16918	157,776	b0700 JW0689	
P37692	39,042	b3620 JW3595	
P16919	159,725	b0497 JW0486	
P27125	37,320	b3907 JW3878	
P25740	42,284	b3631 JW3606	
P0A944	16,610	b4373 JW4335	
P0A9Q5	33,322	b2316 JW2313	SUBUNIT: Acetyl-CoA carboxylase is a heterohexamer composed of biotin carboxyl carrier protein (AccB), biotin carboxylase (AccC) and two subunits each of ACCase subunit alpha (AccA) and ACCase subunit beta (AccD).
P25516	97,677	b1276 JW1268	SUBUNIT: Monomer. {ECO:0000269|PubMed:1838390}.
P0A6A3	43,290	b2296 JW2293	SUBUNIT: Homodimer.
P06609	34,949	b1711 JW1701	SUBUNIT: The complex is composed of two ATP-binding proteins (BtuD), two transmembrane proteins (BtuC) and a solute-binding protein (BtuF). {ECO:0000269|PubMed:12004122}.
P06611	27,081	b1709 JW1699	SUBUNIT: The complex is composed of two ATP-binding proteins (BtuD), two transmembrane proteins (BtuC) and a solute-binding protein (BtuF). {ECO:0000255|HAMAP-Rule:MF_01005, ECO:0000269|PubMed:12004122}.
P39334	21,502	b4251 JW4208	
P24224	14,052	b2563 JW2547	SUBUNIT: Homodimer. {ECO:0000269|PubMed:7559576}.
P37653	99,785	b3533 JW5665	
P0ADJ5	7,364	b3537 JW5663	
P37659	62,032	b3538 JW3506	
P37655	27,140	b3534	
P0AFT5	27,400	b2125 JW5352	
P05804	68,447	b1617 JW1609	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:3105604}.
P0AD14	62,092	b2126 JW5353	SUBUNIT: Interacts with BtsT and YhjX. {ECO:0000269|PubMed:24659770}.
P39396	77,324	b4354 JW5791	SUBUNIT: Interacts with BtsS and YpdA. {ECO:0000269|PubMed:24659770}.
P39265	32,910	b4088 JW4049	
P29012	38,845	b1190 JW1179	
P00562	88,888	b3940 JW3911	SUBUNIT: Homotetramer.
P00561	89,120	b0002 JW0001	SUBUNIT: Homotetramer.
P77434	46,216	b2379 JW2376	SUBUNIT: Homodimer. {ECO:0000269|PubMed:20729367}.
P75820	31,072	b0867 JW0851	
P26365	47,985	b4169 JW4127	
P0ACK2	29,572	b3131 JW3100	
P00864	99,063	b3956 JW3928	SUBUNIT: Homotetramer.
P09551	27,992	b2310 JW2307	SUBUNIT: The complex is composed of two ATP-binding proteins (HisP), two transmembrane proteins (HisM and HisQ) and a solute-binding protein (ArgT). {ECO:0000250}.
P76213	33,739	b1741 JW1730	
P00811	41,556	b4150 JW4111	SUBUNIT: Monomer. {ECO:0000269|PubMed:11478888}.
P13016	20,536	b0110 JW0106	
P07364	32,849	b1884 JW1873	
P15034	49,815	b2908 JW2876	SUBUNIT: Homotetramer.
P0AE14	32,122	b0111 JW0107	
P0A964	18,084	b1887 JW1876	SUBUNIT: An in vitro complex of CheW/CheA(L)/CheA(S) in a 1:1:1 ratio increases the autophosphorylation of CheA and is required for the binding of CheY, the phosphorylation substrate. This complex accounts for 10% of the total number of molecules. {ECO:0000269|PubMed:2068106}.
P0AE16	53,245	b0433 JW0423	
P04825	98,919	b0932 JW0915	
P0ACI6	16,888	b3743 JW3721	
P24242	36,813	b2714 JW5434	
P15770	29,414	b3281 JW3242	SUBUNIT: Monomer or homodimer. {ECO:0000255|HAMAP-Rule:MF_00222, ECO:0000269|PubMed:12637497, ECO:0000269|PubMed:3883995}.
P36566	29,814	b0921 JW0904	
P28249	68,963	b2064 JW2049	
P0AFP2	14,450	b0454 JW0444	SUBUNIT: Interacts with HelD and UvrA. {ECO:0000269|PubMed:18084297, ECO:0000269|PubMed:19269902}.
P13001	28,505	b3412 JW3375	SUBUNIT: Monomer. {ECO:0000269|PubMed:11904168}.
P06709	35,312	b3973 JW3941	SUBUNIT: Monomer in solution. Interacts with BCCP. Homodimerizes to bind DNA. Interaction with the corepressor bio-5'-AMP increases dimerization. {ECO:0000269|PubMed:11353844, ECO:0000269|PubMed:12527300, ECO:0000269|PubMed:1409631, ECO:0000269|PubMed:16438984, ECO:0000269|PubMed:23896299, ECO:0000269|PubMed:6129246}.
P0AB40	8,815	b1112 JW1098	
P69228	27,656	b2079 JW2064	
P76245	38,546	b1794 JW5292	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P31129}.
P06149	64,612	b2133 JW2121	
P06966	15,656	b1570 JW1562	
P09557	6,964	b1575 JW1566	
P06965	8,578	b1569 JW1561	
P37672	36,573	b3575 JW3547	SUBUNIT: Homodimer. {ECO:0000269|PubMed:14718529}.
P64426	49,574	b1491 JW1486	
P00370	48,581	b1761 JW1750	SUBUNIT: Homohexamer. {ECO:0000269|PubMed:235298, ECO:0000269|PubMed:241744, ECO:0000269|Ref.12}.
P08622	41,100	b0015 JW0014	SUBUNIT: Homodimer.
P0A6K6	44,370	b4383 JW4346	
P0A6I3	36,360	b3974 JW3942	
P0C0V0	49,354	b0161 JW0157	SUBUNIT: DegP can reversibly switch between different oligomeric forms that represent inactive (6-mer) and active (12- and 24-mer) protease states. Substrate binding triggers the conversion of the resting DegP trimer and hexamer into catalytically active 12- and 24-mers. The conversion of 6-mer (DegP6) into 12-mer (DegP12) or 24-mer (DegP24) is crucial in regulating protease activity. {ECO:0000269|PubMed:11919638, ECO:0000269|PubMed:18496527, ECO:0000269|PubMed:18697939, ECO:0000269|PubMed:20581825, ECO:0000269|PubMed:21458668, ECO:0000269|PubMed:21526129, ECO:0000269|PubMed:8830688}.
P39099	47,205	b3234 JW3203	SUBUNIT: DegQ can reversibly switch between different oligomeric forms that represent inactive (6-mer) and active (12- and 24-mer) protease states. Substrate binding triggers the conversion of the resting DegQ trimer and hexamer into catalytically active 12- and 24-mers. The conversion of 6-mer (DegQ6) into 12-mer (DegQ12) or 24-mer (DegQ24) is crucial in regulating protease activity. {ECO:0000269|PubMed:21685389, ECO:0000269|PubMed:8830688}.
P75919	53,666	b1046 JW5150	
P45568	43,388	b0173 JW0168	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11741911, ECO:0000269|PubMed:11872159, ECO:0000269|PubMed:12621040, ECO:0000269|PubMed:15339150, ECO:0000269|PubMed:15567415}.
P54901	49,040	b2535 JW5878	
P77690	42,238	b2253 JW5372	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q8ZNF3}.
P0A962	37,127	b1767 JW1756	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:17451745}.
P0A6E4	49,898	b3172 JW3140	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:11738042, ECO:0000269|PubMed:11809762}.
P00805	36,851	b2957 JW2924	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:12595697, ECO:0000269|PubMed:1906013, ECO:0000269|PubMed:4561256, ECO:0000269|PubMed:8434007, ECO:0000269|PubMed:8706862}.
